№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;;;;;;;;;
54;"Джерело ""В загороді""";пам`ятка природи;гідрологічна;0,01;Тернопільський район, с.Чернелів-Руський,в 300м від дороги Тернопіль-Жовтневе;Чернелево-Руська сільська рада;Рішення Тернопільської обласної ради від 20.08.2010 №1043;;;;;;;;;;;;;
55;"Джерела ""Гуркало""";пам`ятка природи;гідрологічна;0,39;Бучацький район, с.Помірці, між Поморецькою горою та гостинцем;Ріпинецька сільська рада;Рішення Тернопільської обласної ради від 14.04.2011 №1049;;;;;;;;;;;;;
56;"""Шпакове  вікно""";пам`ятка природи;гідрологічна;14,1;Бучацький район, с.Вербятин зі сторони села Озеряни, з правого боку від автодороги;Озерянська сільська рада;Рішення Тернопільської обласної ради від 14.07.2011 №1217;;;;;;;;;;;;;
57;"""Озерця ""Вікнини""";пам`ятка природи;гідрологічна;0,02;Гусятинський район, с.Вікно, північно-західна околиця      ;Вікнянська сільська рада;Рішення виконавчого комітету Тернопільської обласної ради від 20.12.1968 р.  №870    ;;;;;;;;;;;;;
58;"""Джерело в урочищі ""Лан""";пам`ятка природи;гідрологічна;0,05;Чортківський район, с.Росохач, східна околиця, правий високий берег  р. Серету;Росохацька сільська рада;Рішення Тернопільської обласної ради  від 30.01.2003 р. № 98  ;;;;;;;;;;;;;
59;"""Борухівські озерця""";пам`ятка природи;гідрологічна;5;"Борщівський район,  с.Озеряни, х.Борухи, з правої сторони біля автошляху ""Тернопіль-Борщів""";Озерянська сільська рада;Рішення виконавчого комітету Тернопільської обласної ради від  26.12.1976 р. №637   ;;;;;;;;;;;;;
60;"""Озерце ""Безодня""";пам`ятка природи;гідрологічна;0,33;Тернопільський район,  с.Миролюбівка, 500 метрів  на схід у долині р. Гниди;Миролюбівська сільська рада ;Рішення Тернопільської  обласної ради  від 18.03.1994 р. ;;;;;;;;;;;;;
61;"""Болото ""Скабор""";пам`ятка природи;гідрологічна;1;Теребовлянський район,  с.Тютьків, серед полів   ;Дарахівська сільська рада;Рішення виконавчого комітету Тернопільської обласної ради  від 28.12.1970 р.  №829   ;;;;;;;;;;;;;
62;"""Скориківське болото""";пам`ятка природи;гідрологічна;11,1;Підволочиський район,  с.Скорики, північна околиця, заплава р.Самчик, від  автошляху між селами Скорики і Медин до ставу   ;Скориківська сільська рада;Рішення виконавчого комітету Тернопільської обласної ради від 30.08.1990 р. №189, із змінами затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238  ;;;;;;;;;;;;;
63;"Джерело в ур. ""Бровар""";пам`ятка природи;гідрологічна;0,05;Бучацький район, с. Броварі Язловецької сільської ради, ліва притока ріку Вільховець;Язловецька сільська рада, Бучацькго району;Рішення Тернопільської  обласної ради  від 18.09.2014 р. №11761;;;;;;;;;;;;;
64;"Джерело ""Дзюрудло""";пам`ятка природи;гідрологічна;0,1;Чортківський район, с.Джурин, біля залізничного мосту, долина ріки Джурин;Джуринська сільська рада Чортківського району;Рішення Тернопільської  обласної ради  від 18.09.2014 р. №11761;;;;;;;;;;;;;
65;"Джерело ""Прало""";пам`ятка природи;гідрологічна;0,1;Чортківський район, с.Джурин, південна околиця, долина ріки Джурин;Джуринська сільська рада Чортківського району;Рішення Тернопільської  обласної ради  від 18.09.2014 р. №11761;;;;;;;;;;;;;
;Разом пам`яток природи гідрологічних ;65;;69,625;;;;;;;;;;;;;;;;
1;"""Скала-Подільська діброва""";пам`ятка природи;ботанічна;12,9;"Борщівський район, с.Цигани, Скала-Подільське л-во, кв.74 в.6,10, лісове урочище ""Дача Скала-Подільська""";"ДП ""Чорткiвське лiсове господарство""  ";Рiшення виконавчого комітету Тернопільської обласної ради  вiд 05.11.1981 р.  № 589    ;;;;;;;;;;;;;4,7
2;"""Золотопотіцька дубина""";пам`ятка природи;ботанічна;4,7;"Бучацький район, с.Соколів, Золотопотіцьке л-во, кв.56 в.16, лісове урочище ""Сновидів""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;4,2
3;"""Лошнівська бучина""";пам`ятка природи;ботанічна;4,2;"Теребовлянський район, с.Лошнів, Теребовлянське           л-во, кв.25 в.18, лісове урочище ""Дача ""Теребовлянська""";"ДП ""Тернопільське лiсове господарство"" ";Рiшення Тернопільської обласної ради  вiд 30.01.2003 р. № 98;;;;;;;;;;;;;15
4;"""Теребовлянська бучина""";пам`ятка природи;ботанічна;15;"Теребовлянський район, с.Кровинка,  Теребовлянське лісництво, кв.72 в.3, лісове урочище ""Дача ""Теребовлянська""";"ДП ""Тернопільське лiсове господарство"" ";Рiшення Тернопільської обласної ради  вiд 30.01.2003 р. №98;;;;;;;;;;;;;1
5;"""Язловецька діброва №1""";пам`ятка природи;ботанічна;1;"Бучацький район, с.Язловець, Язловецьке л-во, кв.23 в.8, лісове урочище ""Язловець""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;4,5
6;"""Язловецька діброва №2""";пам`ятка природи;ботанічна;4,5;"Бучацький район, с.Язловець, Язловецьке л-во, кв.33 в.4, лісове урочище ""Язловець""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;18,5
7;"""Дорошівська діброва""";пам`ятка природи;ботанічна;18,5;"Заліщицький район, с.Блищанка, Заліщицьке л-во, кв.64 в.1, лісове урочище ""Дорошево""";"ДП ""Чорткiвське лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;9,7
8;"""Вістрянська діброва""";пам`ятка природи;ботанічна;9,7;"Монастириський район, с.Діброва,  Коропецьке л-во, кв.83 в.11, кв.84 в.1, лісове урочище ""Вістря""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;20
9;"""Коропецька діброва""";пам`ятка природи;ботанічна;20;"Монастириський район, с.Залісся,  Коропецьке л-во, кв.28 в.5, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;2
10;"""Луб`янківська дубина""";пам`ятка природи;ботанічна;2;"Збаразький район, с.Коршемки,  Збаразьке л-во, кв.80  в.6, лісове урочище ""Луб'янки""";"ДП ""Тернопільське лісове  господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;1,3
11;"""Тернопільська діброва""";пам`ятка природи;ботанічна;1,3;"Тернопільський район, с.Драганівка, Тернопільське лісництво, кв.49 в.4, лісове урочище Буцнів""";"ДП ""Тернопільське лісове господарство""       ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;7,3
12;"""Папірнянська діброва""";пам`ятка природи;ботанічна;8,8;"Теребовлянський район, с.Папірня,  Буданівське л-во, кв.48 в.4, урочище ""Чорний ліс""";"ДП ""Тернопільське лісове  господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;4,5
13;"""Забродівська діброва №1""";пам`ятка природи;ботанічна;9,2;"Кременецький район, с.Лішня, Білокриницьке л-во, кв.4 в.4, лісове урочище ""Заброддя""";"ДП ""Кременецьке лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;18
14;"""Забродівська діброва №2""";пам`ятка природи;ботанічна;7,3;"Кременецький район, с.Лішня, Білокри-ницьке л-во, кв.9 в.2, лісове урочище ""Заброддя""";"ДП ""Кременецьке лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;6,3
15;"""Діброва ""Зелений дуб""";пам`ятка природи;ботанічна;4,5;"Шумський район, с.Кутянка, Суразьке л-во, кв.28 в.6,  лісове урочище ""Зелений дуб""";"ДП ""Кременецьке лiсове господарство"" ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;0,2
16;"""Мужилівська діброва""";пам`ятка природи;ботанічна;18;"Підгаєцький район,        с. Мужилів, Підгаєцьке л-во, кв.26 в.7, лісове урочище ""Сирота""";"ДП ""Бережанське  лісомисливське господарство""         ";Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;21
17;"""Теребовлянська дубина""";пам`ятка природи;ботанічна;6,3;"Теребовлянський район, с.Струсів, Теребовлянське л-во, кв.43 в.6, лісове  урочище ""Теребовлянська дача""";"ДП ""Тернопільське лісове  господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;2
18;"""Куртина дуба червоного""";пам`ятка природи;ботанічна;0,2;"Борщівський район, с.Цигани, Скала-Подільське л-во, кв.74 в.1, лісове урочище  ""Дача ""Скала-Подільська""";"ДП ""Чорткiвське лiсове господарство""  ";Рiшення виконавчого комітету Тернопільської обласної ради від 14.10.1967 р.  №734   ;;;;;;;;;;;;;5
19;"""Бережанська бучина""";пам`ятка природи;ботанічна;21;"Бережанський район, с.Кур'яни, Бережанське л-во, кв.60, в.9,  лісове урочище ""Кур'яни""";"ДП ""Бережанське  лісомисливське господарство""         ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. №496;;;;;;;;;;;;;14,8
20;"""Кур'янівська бучина""";пам`ятка природи;ботанічна;2;"Бережанський район, с.Кур'яни,  Бережанське л-во, кв.68 в.15, лісове урочище ""Кур'яни""";"ДП ""Бережанське лісомисливське господарство""    ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;9
21;"""Нараївська бучина""";пам`ятка природи;ботанічна;5;"Бережанський район, с. Рогачин  Нараївське л-во, кв.33 в.12, лісове урочище ""Нараївська дача""";"ДП ""Бережанське  лісомисливське господарство""    ";Рiшення виконавчого комітету Тернопільської обласної ради від 15.06.1964 р. № 449;;;;;;;;;;;;;22
22;"""Урманська бучина""";пам`ятка природи;ботанічна;14,8;"Бережанський район, с.Краснопуща, Урманське л-во, кв.19 в.1,3, лісове урочище ""Урмань""";"ДП ""Бережанське  лісомисливське господарство""    ";Рiшення Тернопільської обласної ради  вiд 25.04.1996 р. №90;;;;;;;;;;;;;4,4
23;"""Завалівська бучина №1""";пам`ятка природи;ботанічна;9;"Підгаєцький район, с. Затурин, Завалівське л-во, кв.40 в.8, лісове урочище ""Завалів""";"ДП ""Бережанське  лісомисливське господарство""    ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;22
24;"""Завалівська бучина №2""";пам`ятка природи;ботанічна;22;"Підгаєцький район, с. Затурин, Завалівське л-во, кв.48 в.11, лісове урочище ""Завалів""";"ДП ""Бережанське лісомисливське господарство""    ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;5,8
25;"""Тростянецька бучина""";пам`ятка природи;ботанічна;4,4;"Підгаєцький район, с. Старий Литвинів,  Литвинівське л-во, кв.80 в.2, лісове урочище ""Тростянецька дача""";"ДП ""Бережанське  лісомисливське господарство""    ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 27.12.1976р. №637, із змінами затвердженими рішенням Тернопільської обласної  ради  від 25.04.1996 р. №90;;;;;;;;;;;;;26
26;"""Рудницька бучина""";пам`ятка природи;ботанічна;22;"Підгаєцький район,  с.Шумляни, Литвинівське л-во, кв.106 в.2, лісове урочище ""Рудники""";"ДП ""Бережанське  лісомисливське господарство""    ";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;27,6
27;"""Вадівська бучина""";пам`ятка природи;ботанічна;5,8;"Бучацький район, с.Порохова,   Золо-топотіцьке л-во, кв.22 в.17,18, лісове урочище ""Вадова""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;11
28;"""Яргорівська бучина №1""";пам`ятка природи;ботанічна;26;"Монастириський район, с. Яргорів, Криницьке л-во, кв.5 в.2, лісове урочище ""Яргорів""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1983 р. №496;;;;;;;;;;;;;3,4
29;"""Яргорівська бучина №2""";пам`ятка природи;ботанічна;27,6;"Монастириський район, с. Яргорів, Криницьке л-во, кв.6 в.1, лісове урочище ""Яргорів""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589 ;;;;;;;;;;;;;3,8
30;"""Яргорівська бучина №3""";пам`ятка природи;ботанічна;11;"Монастириський район, с.Яргорів, Монастириське л-во, кв.71 в.1, лісове урочище ""Яргорів""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;1,9
31;"""Марковецька бучина""";пам`ятка природи;ботанічна;3,4;"Монастириський район,  с. Маркова, Монастириське л-во, кв.26 в.7, лісове урочище ""Маркова""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;0,8
32;"""Монастириська бучина""";пам`ятка природи;ботанічна;3,8;"Монастириський район,  с.Заварівка,  Монастириське л-во, кв.23 в.9, лісове урочище ""Маркова""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 25 .04.1996 р. №90;;;;;;;;;;;;;6,8
33;"""Чайчинецька бучина""";пам`ятка природи;ботанічна;1,9;"Збаразький район, с.Чайчинці, Вишнівецьке л-во, кв.22 в.13, лісове урочище ""Чайчинці""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради від14.03.1977 р. №131    ;;;;;;;;;;;;;7,6
34;"""Кременецька бучина №1""";пам`ятка природи;ботанічна;0,8;"Кременецький район, с. Жолоби, Кременецьке л-во, кв.51 в.12 , лісове урочище ""Кременець""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;49
35;"""Кременецька бучина №2""";пам`ятка природи;ботанічна;6,8;"Кременецький район,с.Жолоби, Кременецьке л-во, кв.46 в.12, кв.47 вид.7, 14, лісове урочище ""Кременець""";"ДП ""Кременецьке лісове господарство""";Рiшення Тернопільської обласної ради від 18.03.1994 р.   ;;;;;;;;;;;;;8
36;"Бучина в урочищі ""Братерщина""";пам`ятка природи;ботанічна;4;"Лановецький район, с.Борщівка, Лановецьке л-во, кв.22 в.4, лісове урочище ""Братерщина""";"ДП ""Кременецьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;19
37;"""Білокриницька  бучина №1""";пам`ятка природи;ботанічна;9,7;"Шумський район, с. Башківці, Білокриницьке л-во, кв.55 в.18, 19, кв.59 в.4,  лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;1,1
38;"""Білокриницька  бучина №2""";пам`ятка природи;ботанічна;7,6;"Шумський район, с. Башківці, Білокриницьке л-во, кв.55 в.21, кв.59 в.6, лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;7,3
39;"""Теребовлянська бучина №1""";пам`ятка природи;ботанічна;49;"Теребовлянський район, с.Струсів, Теребовлянське        л-во, кв.53 в.2, кв.63 в.2, лісове урочище ""Теребовлянська дача""";"ДП ""Тернопільське лісове  господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189                                                        ;;;;;;;;;;;;;1
40;"""Шупарська  бучина №1""";пам`ятка природи;ботанічна;8;"Борщівський район, с.Шупарка,  Шупарське л-во, кв.22 в.2, лісове урочище ""Дача"" Шупарка""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;3,7
41;"""Шупарська  бучина №2""";пам`ятка природи;ботанічна;19;"Борщівський район, с.Шупарка, Шупарське л-во, кв.18 в.11, лісове урочище ""Дача"" Шупарка""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131, із змінами, затвердженими рiшенням Тернопільської обласної ради  вiд 21.08.2000 р.  №187    ;;;;;;;;;;;;;10,3
42;"""Гермаківська  бучина""";пам`ятка природи;ботанічна;1,1;"Борщівський район,с.Гермаківка, Гермаківське л-во, кв.2 в.2, лісове урочище ""Дача Романського""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;0,8
43;"""Мушкатівська  бучина""";пам`ятка природи;ботанічна;7,3;"Борщівський район, с.Мушкатівка, Борщівське л-во, кв.7 в.3, лісове урочище  ""Мушкатівка""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;3,8
44;"""Копиченецька бучина""";пам`ятка природи;ботанічна;1;Гусятинський район, с.Яблунів, Копичинецьке л-во кв.40, в.5, лісове урочище «Яблунівська дача»;"ДП ""Чортківаське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645;;;;;;;;;;;;;1,6
45;"""Еталон модриново-ясеневого насадження з домішками сосни і дуба звичайного""";пам`ятка природи;ботанічна;3,7;"Борщівський район, с. Озеряни, Улашківське л-во,  кв.70 в.1, лісове урочище ""Дача Галілея""";"ДП ""Чортківське лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;6,7
46;"""Курянівський модринник""";пам`ятка природи;ботанічна;10,3;"Бережанський район, с. Волиця, Нараївське-во, кв 57 в.8, 11, лісове урочище ""Нараївська дача""";"ДП ""Бережанське лісомисливське господарство"" ";Рiшення Тернопільської обласної ради  вiд 21.08.2000 р. №187;;;;;;;;;;;;;2,1
47;"""Лубянківський модринник""";пам`ятка природи;ботанічна;0,8;"Збаразький район, с. Луб'янки, Збаразьке л-во, кв.80 в.16, лісове урочище ""Луб'янки""";"ДП ""Тернопільське лісове  господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;0,9
48;"""Модриново-букове насадження""";пам`ятка природи;ботанічна;3,8;"Кременецький район, с. Жолоби, Кременецьке л-во,  кв.51 в.8, 10, лісове урочище ""Маслятин""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. № 131    ;;;;;;;;;;;;;1,5
49;"""Модриново-кленове насадження в ур.""Братерщина""";пам`ятка природи;ботанічна;1,6;"Лановецький район,        с. Борщівка,  Лановецьке л-во, кв.18 в.10, лісове урочище ""Братерщина""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;2,5
50;"""Лісові культури модрини європейської""";пам`ятка природи;ботанічна;6,7;"Монастириський район, с.Садове,  Коропецьке л-во, кв.63 в.5, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 25.04.1996 р. №90;;;;;;;;;;;;;0,2
51;"""Горіх чорний  (ділянка №1)""";пам`ятка природи;ботанічна;2,1;"Борщівський район,     с. Дзвинячка, Мельнице-Подільське л-во,  кв.67 в3, лісове урочище ""Дача ""Гай""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 14.03.1977 р. №131    ;;;;;;;;;;;;;1
52;"""Горіх чорний (ділянка №2)""";пам`ятка природи;ботанічна;0,9;"Борщівський район,     с. Дзвинячка, Мельнице-Подільське л-во, кв.65 в.4, лісове урочище ""Дача ""Гай""";"ДП ""Чортківське лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;13,8
53;"""Горіх чорний (ділянка №3)""";пам`ятка природи;ботанічна;1,5;"Борщівський район,     с. Дзвинячка, Мельнице-Подільське л-во, кв.80 в.30,  лісове урочище ""Дача  "" Ярки""";"ДП ""Чортківське лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.    ;;;;;;;;;;;;;17
54;"""Горіх чорний (ділянка №4)""";пам`ятка природи;ботанічна;2,5;"Борщівський район,     с. Трубчин, Мельнице-Подільське л-во, кв.83 в.7, лісове урочище ""Ріжки""";"ДП ""Чортківське лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.    ;;;;;;;;;;;;;9,3
55;"""Горіх чорний  (ділянка №5)""";пам`ятка природи;ботанічна;0,2;"Борщівський район,      с Констанція, Улашківське л-во, кв.81 в.4, лісове урочище ""Галілея Голубецька""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 26.12.1970 р. № 829    ;;;;;;;;;;;;;5
56;"""Горіх чорний  (ділянка №6)""";пам`ятка природи;ботанічна;1;"Заліщицький район,      с. Слобідка, Дорогичівське л-во, кв.3 в.3, лісове урочище ""Чагар""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 13.12.1971 р. №645         ;;;;;;;;;;;;;2,3
57;"""Берекова діброва в Шутроминцях""";пам`ятка природи;ботанічна;13,8;"Заліщицький район, с. Шутроминці,  Дорогичівське        л-во, кв.21 в.4,5,7,8, лісове урочище ""Нирків""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 17.11.1969 р.  №747, із змінами затвердженими рішенням виконавчого комітету Тернопільської обласної ради                                від 19.11.1984 р. №320 ;;;;;;;;;;;;;0,8
58;"""Золотопотіцька березина""";пам`ятка природи;ботанічна;17;"Бучацький район, с.Золотий Потік, Золотопотіцьке л-во, кв.60 в.1, лісове урочище ""Соколів""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;23
59;"""Коропецька ясенина""";пам`ятка природи;ботанічна;1,3;"Монастириський район, с.Садове,  Коропецьке л-во,  кв.48 в.1, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;13
60;"""Коропецька грабина""";пам`ятка природи;ботанічна;9;"Монастириський район, с.Коропець, Коропецьке л-во, кв.43 в.4, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;0,1
61;"""Колиндянська грабина""";пам`ятка природи;ботанічна;9,3;"Чортківський район, с.Давидківці,  Колиндянське л-во, кв.56 в.7, лісове урочище ""Колиндянська дача""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 05.11.1981 р.  №589    ;;;;;;;;;;;;;0,01
62;"""Сосна чорна теребовлянська""                        ";пам`ятка природи;ботанічна;5;Теребовлянський район,  м.Теребовля, біля фортеці, рекреаційна зона;Теребовлянський комбінат комунальних  підприємств;Рiшення виконавчого комітету Тернопільської обласної ради вiд 27.12.1976 р.  №637 ;;;;;;;;;;;;;0,01
63;"""Сосна чорна коропецька №1"" ";пам`ятка природи;ботанічна;2,3;"Монастириський район, с.Діброва, Коропецьке л-во, кв.85 в.1, лісове урочище ""Вістря""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 25.04.1996 р. №90;;;;;;;;;;;;;0,03
64;"""Сосна чорна коропецька №2""";пам`ятка природи;ботанічна;0,8;"Монастириський район, с.Діброва, Коропецьке л-во, кв.85 в.3, лісове урочище ""Вістря""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 25.04.1996 р. №90;;;;;;;;;;;;;0,01
65;"""Стіжоцький сосняк""";пам`ятка природи;ботанічна;23;"Шумський район, с.Стіжок,  Волинське л-во, кв.54 в.1, лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 30.08.1990 р. №189, зі змінами, затвердженими рішенням Тернопільської обласної ради від 27.04.2001р. №238                                                        ;;;;;;;;;;;;;0,01
66;"""Антонівецький сосняк""";пам`ятка природи;ботанічна;13;"Шумський район, с.Антонівці,  Волинське л-во,  кв.42 в.2, лісове урочище ""Антонівці-Свинодебри""";"ДП ""Кременецьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р.;;;;;;;;;;;;;0,01
67;"""Гермаківські липи""";пам`ятка природи;ботанічна;0,1;"Борщівський район, с.Гермаківка Гермаківське л-во, кв.11 в.5, лісове урочище  ""Дача Романського""";"ДП ""Чортківське лісове господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 23.10.1972 р. №537 ;;;;;;;;;;;;;0,1
68;"""Дуб звичайний (1 дерево)""";пам`ятка природи;ботанічна;0,01;"Бережанський район,с.Урмань, Урманське л-во, кв.25 в.3, лісове урочище ""Урмань""";"ДП ""Бережанське  лісомисливське господарство""";Рiшення виконавчого комітету Тернопільської обласної ради вiд 28.12.1970 р. №828 ;;;;;;;;;;;;;0,03
69;"""Дуб звичайний (1 дерево)""";пам`ятка природи;ботанічна;0,01;"Монастириський район, с.Залісся, Коропецьке л-во, кв.29 в.5, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р. ;;;;;;;;;;;;;0,01
70;"""Дуб звичайний (3 дерева)""";пам`ятка природи;ботанічна;0,03;"Монастириський район, с.Залісся,  Коропецьке л-во, кв.29 в.1, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р. ;;;;;;;;;;;;;0,01
71;"""Дуб звичайний (1 дерево)""";пам`ятка природи;ботанічна;0,01;"Монастириський район, с.Залісся,  Коропецьке л-во, кв.27 в.1, лісове урочище ""Коропець""";"ДП ""Бучацьке лісове господарство""";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р. ;;;;;;;;;;;;;0,01
72;"""Дуб звичайний  (1 дерево)""";пам`ятка природи;ботанічна;0,01;"Шумський район, с.Вілія, Забарівське л-во, кв.45 в.2, лісове урочище ""Вілія""";"ДП ""Кременецьке лiсове господарство""  ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р. ;;;;;;;;;;;;;0,01
73;"""Дуб звичайний  (1 дерево)""";пам`ятка природи;ботанічна;0,01;"Шумський район, с.Вілія, Забарівське л-во, кв.45 в.9, лісове урочище  ""Вілія""";"ДП ""Кременецьке лiсове господарство""  ";Рiшення Тернопільської обласної ради  вiд 18.03.1994 р. ;;;;;;;;;;;;;0,01
